"","ID","Regulator","ExamDate","BankName","City","State","AssetSize","ExamMethod","Rating","UnknownVariable","MeanRankingbyQuarterwithinCity","MeanRankingbyCity","GEOID","UATYPE","LAT","LON","ExamDate_d"
"10869",13679,1,"4/8/02","BANK OF OKLAHOMA, N.A.","TULSA","OK",8700769,1,2,NA,1.333333333,1.944055944,88948,"U",36.105449,-95.901334,2002-04-08
"10870",13679,1,"10/28/13","BOKF, NATIONAL ASSOCIATION","TULSA","OK",32669391,1,1,NA,1,1.944055944,88948,"U",36.105449,-95.901334,2013-10-28
"10871",402,3,"5/1/91","THE BANK OF TUTTLE","TUTTLE","OK",34000,9,2,NA,2,2,89177,"C",35.268795,-97.697197,1991-05-01
"10872",402,3,"8/1/14","SOONER STATE BANK","TUTTLE","OK",170828,2,2,NA,2,2,89177,"C",35.268795,-97.697197,2014-08-01
"10873",17967,3,"1/1/04","THE BANK OF UNION","UNION CITY","OK",97583,2,2,NA,2,2,NA,"",35.392567,-97.944388,2004-01-01
"10874",12757,3,"3/1/12","FIRST STATE BANK","VALLIANT","OK",51548,2,2,NA,2,2,NA,"",34.00463,-95.090099,2012-03-01
"10875",20125,3,"12/1/90","CITIZENS' BANK","VELMA","OK",12000,9,2,NA,2.25,2.142857143,NA,"",34.456505,-97.668866,1990-12-01
"10876",20125,3,"4/1/99","CITIZENS BANK","VELMA","OK",14719,2,2,NA,2,2.142857143,NA,"",34.456505,-97.668866,1999-04-01
"10877",468655,2,"3/26/07","CITIZENS BK","VELMA","OK",18198,2,2,NA,2,2.142857143,NA,"",34.456505,-97.668866,2007-03-26
"10878",4217,3,"6/1/13","THE BANK OF VERDEN","VERDEN","OK",31970,2,2,NA,2,2.111111111,NA,"",35.081997,-98.087971,2013-06-01
"10879",4217,3,"5/1/19","COMMUNITY BANK OF OKLAHOMA","VERDEN","OK",43527,2,2,NA,2,2.111111111,NA,"",35.081997,-98.087971,2019-05-01
"10880",2315,3,"4/1/95","VIAN STATE BANK","VIAN","OK",82607,9,2,NA,2,1.8,NA,"",35.497703,-94.968442,1995-04-01
"10881",2315,3,"9/1/98","ARMSTRONG BANK","VIAN","OK",176188,2,2,NA,2,1.8,NA,"",35.497703,-94.968442,1998-09-01
"10882",420,3,"9/1/13","BANK OF VICI","VICI","OK",45298,2,2,NA,2,1.875,NA,"",36.149508,-99.301912,2013-09-01
"10883",4704,1,"9/30/91","THE FIRST NATIONAL BANK & TRUST","VINITA","OK",77527,9,2,NA,1.909090909,1.928571429,90784,"C",36.642892,-95.157151,1991-09-30
"10884",15611,3,"6/1/19","OKLAHOMA STATE BANK","VINITA","OK",155920,2,2,NA,2,1.928571429,90784,"C",36.642892,-95.157151,2019-06-01
"10885",4704,1,"7/20/15","THE FIRST NATIONAL BANK AND TRUST COMPANY OF VINITA","VINITA","OK",348437,7,2,NA,2,1.928571429,90784,"C",36.642892,-95.157151,2015-07-20
"10886",2312,3,"2/1/91","THE AMERICAN BANK","WAGONER","OK",18000,9,2,NA,2,2,91135,"C",35.954523,-95.381381,1991-02-01
"10887",4219,3,"1/1/14","FIRST BANK & TRUST COMPANY","WAGONER","OK",253421,2,2,NA,2,2,91135,"C",35.954523,-95.381381,2014-01-01
"10888",9476,3,"3/1/94","CITIZENS BANK OF WAKITA","WAKITA","OK",14000,9,2,NA,2,2,NA,"",36.882468,-97.923858,1994-03-01
"10889",14260,3,"3/1/14","WALTERS BANK AND TRUST COMPANY","WALTERS","OK",55659,2,2,NA,2,1.875,91540,"C",34.354345,-98.308334,2014-03-01
"10890",18472,3,"7/1/91","COMMUNITY BANK & TRUST CO.","WARR ACRES","OK",155000,9,2,NA,2,2,NA,"",35.552908,-97.635848,1991-07-01
"10891",2318,3,"7/1/93","WATONGA STATE BANK","WATONGA","OK",55000,9,2,NA,2,1.928571429,92836,"C",35.851686,-98.412775,1993-07-01
"10892",2318,3,"6/1/14","CORNERSTONE BANK","WATONGA","OK",146505,2,2,NA,2,1.928571429,92836,"C",35.851686,-98.412775,2014-06-01
"10893",27395,3,"11/1/91","CIMARRON BANK","WAUKOMIS","OK",15000,9,2,NA,2,2,NA,"",36.241968,-97.911828,1991-11-01
"10894",15694,3,"1/1/05","FIRST STATE BANK","WAUKOMIS","OK",16197,2,2,NA,2,2,NA,"",36.241968,-97.911828,2005-01-01
"10895",8861,1,"11/29/93","THE WAURIKA NATIONAL BANK","WAURIKA","OK",11382,9,2,NA,2,2,NA,"",34.168309,-98.000691,1993-11-29
"10896",12094,1,"1/8/92","FIRST FARMERS NATIONAL BANK","WAURIKA","OK",35148,9,2,NA,2,2,NA,"",34.168309,-98.000691,1992-01-08
"10897",12094,1,"7/5/95","THE FIRST FARMERS N.B.OF WAURIKA","WAURIKA","OK",36592,9,2,NA,2,2,NA,"",34.168309,-98.000691,1995-07-05
"10898",18063,3,"12/1/12","FIRST STATE BANK","WAYNOKA","OK",21748,2,2,NA,2,2,NA,"",36.671897,-98.974629,2012-12-01
"10899",8727,1,"2/1/93","FIRST NATIONAL BANK OF CUSTER CITY","WEATHERFORD","OK",20950,9,2,NA,2,2,93457,"C",35.536011,-98.692345,1993-02-01
"10900",8727,1,"7/18/11","SOUTHWEST NATIONAL BANK","WEATHERFORD","OK",60231,2,2,NA,2,2,93457,"C",35.536011,-98.692345,2011-07-18
"10901",15407,1,"7/13/15","FIRST NATIONAL BANK OF WEATHERFORD","WEATHERFORD","OK",221866,2,2,NA,2,2,93457,"C",35.536011,-98.692345,2015-07-13
"10902",12289,3,"4/1/92","LAKE COUNTRY BANK","WEBBERS FALLS","OK",1000,9,2,NA,2,2,NA,"",35.511412,-95.131499,1992-04-01
"10903",9472,3,"7/1/09","WELCH STATE BANK OF WELCH, OKLA.","WELCH","OK",187002,2,2,NA,2,1.5,NA,"",36.885732,-95.215685,2009-07-01
"10904",12074,1,"2/8/93","THE STATE NATIONAL BANK","WELEETKA","OK",13999,9,2,NA,2,2,NA,"",35.344476,-96.077141,1993-02-08
"10905",294359,2,"6/16/03","WELEETKA ST BK","WELEETKA","OK",20903,2,2,NA,2,2,NA,"",35.344476,-96.077141,2003-06-16
"10906",14575,3,"2/9/91","THE WELLSTON STATE BANK","WELLSTON","OK",7000,9,2,NA,2,2,NA,"",35.634929,-97.098322,1991-02-09
"10907",2320,3,"7/1/10","PEOPLES BANK","WESTVILLE","OK",53382,2,2,NA,2,1.5,NA,"",35.991414,-94.570433,2010-07-01
"10908",966656,2,"7/23/07","BANK OF CMRC","WETUMKA","OK",37182,2,2,NA,2,2,NA,"",35.237428,-96.248595,2007-07-23
"10909",8980,3,"2/1/13","SECURITY STATE BANK OF WEWOKA, OKLAHOMA","WEWOKA","OK",109757,2,2,NA,2,1.769230769,94645,"C",35.14974,-96.491502,2013-02-01
"10910",8980,3,"1/1/19","SECURITY STATE BANK OF OKLAHOMA","WEWOKA","OK",238318,2,2,NA,2,1.769230769,94645,"C",35.14974,-96.491502,2019-01-01
"10911",22839,3,"5/1/91","LATIMER STATE BANK","WILBURTON","OK",36000,9,2,NA,1.75,2,95212,"C",34.915546,-95.313717,1991-05-01
"10912",2332,3,"5/1/14","WILBURTON STATE BANK","WILBURTON","OK",63768,2,2,NA,2,2,95212,"C",34.915546,-95.313717,2014-05-01
"10913",2316,3,"8/1/96","THE FIRST STATE BANK","WISTER","OK",9612,2,2,NA,2,2.25,NA,"",34.967414,-94.72241,1996-08-01
"10914",414,3,"9/1/15","THE STOCK EXCHANGE BANK","WOODWARD","OK",289182,2,2,NA,1.5,1.857142857,97237,"C",36.424832,-99.404726,2015-09-01
"10915",7474,4,"3/23/92","NORTHWEST FS & LA","WOODWARD","OK",569477,8,1,NA,1,1.857142857,97237,"C",36.424832,-99.404726,1992-03-23
"10916",2317,3,"6/1/96","THE BANK OF WYANDOTTE","WYANDOTTE","OK",10746,2,2,NA,2,1.777777778,NA,"",36.7934,-94.72523,1996-06-01
"10917",59754,2,"5/10/99","BANK OF WYANDOTTE","WYANDOTTE","OK",13006,2,2,NA,2,1.777777778,NA,"",36.7934,-94.72523,1999-05-10
"10918",4232,3,"6/1/13","THE STATE BANK OF WYNNEWOOD","WYNNEWOOD","OK",82392,2,2,NA,2,1.875,NA,"",34.645418,-97.162257,2013-06-01
"10919",10196,1,"1/25/92","YUKON NATIONAL BANK","YUKON","OK",50596,9,2,NA,2,2,NA,"",35.489527,-97.750009,1992-01-25
"10920",10196,1,"5/3/99","YUKON NATIONAL  BANK","YUKON","OK",101216,2,2,NA,2,2,NA,"",35.489527,-97.750009,1999-05-03
"10921",10196,1,"8/4/03","THE YUKON NATIONAL BANK","YUKON","OK",136794,2,2,NA,2,2,NA,"",35.489527,-97.750009,2003-08-04
"10922",4235,3,"6/1/13","YNB","YUKON","OK",176954,2,2,NA,2,2,NA,"",35.489527,-97.750009,2013-06-01
"10923",32761,3,"11/1/98","LINN-BENTON BANK","ALBANY","OR",62747,2,2,NA,2,2.142857143,955,"U",44.630088,-123.090049,1998-11-01
"10924",57513,3,"9/1/10","WILLAMETTE COMMUNITY BANK","ALBANY","OR",76957,2,2,NA,2,2.142857143,955,"U",44.630088,-123.090049,2010-09-01
"10925",16243,3,"1/1/04","BANK OF EASTERN OREGON","ARLINGTON","OR",81012,2,2,NA,2,2,NA,"",45.567282,-120.275127,2004-01-01
"10926",19877,3,"6/1/04","BANK OF ASTORIA","ASTORIA","OR",154865,2,2,NA,2,1.4,3547,"C",46.183825,-123.860648,2004-06-01
"10927",92162,2,"9/30/96","AMERICAN PACIFIC BK","AUMSVILLE","OR",39243,2,3,NA,3,3,4249,"C",44.845016,-122.866978,1996-09-30
"10928",800,4,"10/2/00","PIONEER BANK, A FSB","BAKER CITY","OR",389796,1,2,NA,2,2,4654,"C",44.783476,-117.82877,2000-10-02
"10929",57342,3,"10/1/04","PINNACLE BANK","BEAVERTON","OR",27495,2,2,NA,2,2,NA,"",45.496289,-122.800146,2004-10-01
"10930",21688,1,"11/1/99","FIRST CONSUMERS NATIONAL BANK","BEAVERTON","OR",298617,9,2,NA,2,2,NA,"",45.496289,-122.800146,1999-11-01
"10931",18045,4,"7/23/09","HIGH DESERT BANK","BEND","OR",52569,2,2,NA,1.625,1.769230769,6868,"U",44.049108,-121.31202,2009-07-23
"10932",22407,3,"11/1/12","BANK OF THE CASCADES","BEND","OR",1277550,1,2,NA,2,1.769230769,6868,"U",44.049108,-121.31202,2012-11-01
