"","City","State","MeanRankingbyCity","GEOID","UATYPE","LAT","LON","TotalAssets","NumBanks","AvgRating","Banks","cdfi_amt","NumCDFIs","CDFIs"
"6552","RICHMOND","KS",2,NA,"",38.4028,-95.25386,12000,1,2,"PEOPLES BANK OF KANSAS",NA,NA,NA
"6553","RICHMOND","KY",1.6875,74665,"C",37.747376,-84.305866,275348,4,1.5,"FIRST SECURITY BANK & TRUST COMPANY OF MADISON COUNTY, CITIZENS GUARANTY BANK, RICHMOND BANK AND TRUST COMPANY, FIRST FSB OF RICHMOND",NA,NA,NA
"6554","RICHMOND","MN",2,NA,"",45.460536,-94.536053,67251,1,2,"STATE BANK OF RICHMOND",NA,NA,NA
"6555","RICHMOND","MO",1.923076923,74719,"C",39.268057,-93.969074,154216,3,2,"RAY COUNTY BANK, COMMUNITY BANK OF MISSOURI, MERCANTILE BANK OF MISSOURI VALLEY",NA,NA,NA
"6556","RICHMOND","VA",1.921568627,74746,"U",37.477942,-77.487983,66751344,4,1.75,"INVESTORS SAVINGS BANK, F.S.B., SOVRAN BANK, N.A., BRANCH BANKING AND TRUST COMPANY OF VIRGINIA, NATIONSBANK, N.A.",134924909,6,"Capital Source, Inc., Neighborhood Housing Services of Richmond, Inc., REDC Community Capital Group, Inc., VCC Bank, Virginia Community Capital, Inc., Virginia Community Development Fund"
"6557","RICHMOND HILL","GA",2,NA,"",31.93827,-81.30344,240843,1,2,"BRYAN BANK & TRUST",NA,NA,NA
"6558","RICHMONDVILLE","NY",1.571428571,NA,"",42.609418,-74.594655,123114,1,2,"BANK OF RICHMONDVILLE",NA,NA,NA
"6559","RICHTON","MS",2,NA,"",31.318239,-88.993126,59194,1,2,"RICHTON BANK & TRUST COMPANY",486214,1,"Richton Bank and Trust Company"
"6560","RICHWOOD","OH",2,NA,"",40.427182,-83.352079,407990,1,2,"RICHWOOD BKG CO",NA,NA,NA
"6561","RICHWOOD","TX",2,NA,"",29.056079,-95.40994,40050,2,2,"BRAZOSWOOD NATIONAL BANK, BRAZOS NATIONAL BANK",NA,NA,NA
"6562","RICHWOOD","WV",2,NA,"",38.230265,-80.578921,35000,1,2,"PEOPLES BANK OF RICHWOOD, INC.",NA,NA,NA
"6563","RIDGE FARM","IL",1.5,NA,"",39.910953,-87.615286,26037,1,1,"FIRST RIDGE FARM STATE BANK",NA,NA,NA
